date,cloud_cover,sunshine,global_radiation,max_temp,mean_temp,min_temp,precipitation,pressure,snow_depth
19790101,2.0,7.0,52.0,2.3,-4.1,-7.5,0.4,101900.0,9.0
19790102,6.0,1.7,27.0,1.6,-2.6,-7.5,0.0,102530.0,8.0
19790103,5.0,0.0,13.0,1.3,-2.8,-7.2,0.0,102050.0,4.0
19790104,8.0,0.0,13.0,-0.3,-2.6,-6.5,0.0,100840.0,2.0
19790105,6.0,2.0,29.0,5.6,-0.8,-1.4,0.0,102250.0,1.0
19790106,5.0,3.8,39.0,8.3,-0.5,-6.6,0.7,102780.0,1.0
19790107,8.0,0.0,13.0,8.5,1.5,-5.3,5.2,102520.0,0.0
19790108,8.0,0.1,15.0,5.8,6.9,5.3,0.8,101870.0,0.0
19790109,4.0,5.8,50.0,5.2,3.7,1.6,7.2,101170.0,0.0
19790110,7.0,1.9,30.0,4.9,3.3,1.4,2.1,98700.0,0.0
19790111,1.0,6.8,55.0,2.9,2.6,0.3,2.3,98960.0,0.0
19790112,3.0,6.4,54.0,2.0,0.4,-2.0,0.0,100650.0,1.0
19790113,1.0,7.0,57.0,4.3,-2.6,-7.1,0.0,102350.0,1.0
19790114,7.0,0.0,14.0,6.7,-0.6,-5.6,0.8,102700.0,1.0
19790115,,0.0,15.0,5.9,3.8,1.0,0.1,102990.0,0.0
19790116,8.0,0.0,15.0,2.6,5.0,4.1,3.9,103100.0,0.0
19790117,8.0,0.0,15.0,1.9,2.1,1.6,2.5,102220.0,0.0
19790118,8.0,0.0,15.0,3.0,0.8,-0.2,0.2,101860.0,0.0
19790119,8.0,0.0,16.0,7.2,0.8,-1.4,5.2,100910.0,0.0
19790120,7.0,0.0,16.0,3.5,3.1,-1.0,0.0,100920.0,0.0
19790121,,0.0,16.0,1.5,0.0,-3.5,0.1,102170.0,0.0
19790122,8.0,0.0,16.0,0.3,-0.2,-1.8,6.2,101680.0,0.0
19790123,7.0,0.0,17.0,2.9,-1.0,-2.3,1.0,100970.0,6.0
19790124,3.0,4.8,54.0,5.6,-1.4,-5.6,1.4,101010.0,6.0
19790125,8.0,0.0,17.0,2.8,0.6,-4.5,5.3,99660.0,1.0
19790126,5.0,2.6,42.0,1.6,0.8,-1.1,0.1,99280.0,1.0
19790127,4.0,2.1,39.0,4.5,-1.8,-5.2,0.0,99770.0,0.0
19790128,7.0,3.1,47.0,4.8,0.0,-4.4,7.5,99470.0,0.0
19790129,4.0,1.0,31.0,4.0,1.9,-1.0,4.4,98920.0,0.0
19790130,5.0,0.8,30.0,7.3,0.7,-2.6,0.1,100070.0,0.0
19790131,5.0,1.6,38.0,9.1,2.1,-3.1,2.4,101390.0,0.0
19790201,8.0,0.0,19.0,4.0,5.2,1.2,10.1,99490.0,0.0
19790202,5.0,1.4,37.0,5.9,2.8,1.5,0.0,99890.0,0.0
19790203,1.0,8.7,85.0,4.5,0.9,-4.1,0.0,100770.0,0.0
19790204,8.0,0.1,23.0,6.0,1.6,-1.2,0.0,100060.0,0.0
19790205,6.0,0.8,33.0,4.0,3.7,1.4,0.0,100250.0,0.0
19790206,4.0,6.8,78.0,6.8,1.2,-1.6,9.0,101020.0,0.0
19790207,,0.0,21.0,3.7,3.3,-0.2,0.4,99450.0,0.0
19790208,6.0,1.9,45.0,4.0,2.0,0.3,0.0,100740.0,0.0
19790209,8.0,0.0,22.0,3.5,2.4,0.8,0.0,100310.0,0.0
19790210,8.0,0.0,23.0,2.9,2.8,2.1,0.0,99730.0,0.0
19790211,8.0,0.0,23.0,5.4,2.4,1.9,4.4,99170.0,0.0
19790212,8.0,0.1,27.0,8.1,2.8,0.3,6.7,98430.0,1.0
19790213,8.0,0.0,24.0,0.2,4.2,0.3,9.1,98130.0,0.0
19790214,6.0,2.4,54.0,-0.8,-0.2,-0.7,0.0,99380.0,1.0
19790215,7.0,0.0,25.0,0.6,-2.2,-3.7,0.1,100830.0,0.0
19790216,8.0,0.0,25.0,-0.8,-1.2,-3.1,0.0,102270.0,1.0
19790217,8.0,0.0,26.0,0.7,-1.2,-1.5,0.0,102180.0,0.0
19790218,8.0,0.0,26.0,1.9,-0.6,-1.8,0.0,101970.0,0.0
19790219,8.0,0.0,27.0,2.8,0.5,-0.9,0.1,102530.0,0.0
19790220,,0.0,27.0,3.6,1.6,0.3,0.0,103010.0,0.0
19790221,8.0,0.0,28.0,7.4,2.1,0.6,0.6,102640.0,0.0
19790222,5.0,2.6,63.0,8.7,4.3,1.2,1.8,102790.0,0.0
19790223,4.0,7.4,104.0,5.5,4.4,0.2,0.0,103430.0,0.0
19790224,4.0,1.9,58.0,6.9,2.9,0.3,0.0,104130.0,0.0
19790225,3.0,8.1,112.0,6.7,1.8,-3.4,0.0,104270.0,0.0
19790226,,4.2,82.0,8.9,1.6,-3.4,0.0,103590.0,0.0
19790227,6.0,4.4,85.0,6.1,3.7,-1.5,0.8,102090.0,0.0
19790228,6.0,2.1,64.0,9.7,4.4,2.7,0.9,100040.0,0.0
19790301,4.0,6.4,115.0,11.9,3.5,-2.7,0.2,101100.0,0.0
19790302,8.0,0.0,35.0,12.6,6.8,1.6,0.0,101640.0,0.0
19790303,8.0,0.1,40.0,10.5,11.0,9.4,5.3,101850.0,0.0
19790304,4.0,8.7,140.0,11.0,7.4,4.3,0.0,102410.0,0.0
19790305,4.0,6.4,121.0,9.0,5.4,-0.1,0.0,102730.0,0.0
19790306,6.0,3.7,95.0,9.4,6.3,3.6,2.8,100950.0,0.0
19790307,2.0,7.4,133.0,10.5,5.6,1.9,0.0,100800.0,0.0
19790308,4.0,5.1,113.0,11.0,5.6,0.7,8.0,101590.0,0.0
19790309,6.0,1.6,72.0,11.5,7.8,4.5,3.1,99940.0,0.0
19790310,7.0,0.0,40.0,13.8,5.8,0.0,3.8,100740.0,0.0
19790311,7.0,0.2,48.0,10.7,8.2,2.7,0.0,100110.0,0.0
19790312,5.0,4.8,115.0,4.9,7.2,3.7,1.1,100880.0,0.0
19790313,8.0,0.0,42.0,3.8,4.6,4.4,20.3,100800.0,0.0
19790314,8.0,0.0,43.0,2.5,2.8,1.8,0.5,100580.0,0.0
19790315,8.0,0.0,43.0,1.3,1.8,1.2,3.1,100020.0,0.0
19790316,8.0,0.0,44.0,6.9,0.7,0.1,11.8,99160.0,0.0
19790317,5.0,4.3,116.0,9.1,3.5,0.1,0.3,99460.0,1.0
19790318,6.0,4.4,119.0,6.1,5.1,1.1,0.7,99970.0,0.0
19790319,7.0,0.2,54.0,11.0,4.2,2.4,1.0,100230.0,0.0
19790320,6.0,4.0,116.0,8.5,7.0,3.0,2.4,99550.0,0.0
19790321,4.0,6.7,149.0,9.6,5.7,2.9,3.3,99490.0,0.0
19790322,4.0,6.0,143.0,9.2,5.0,0.5,0.1,100520.0,0.0
19790323,1.0,10.7,194.0,11.5,3.1,-3.0,0.0,101660.0,0.0
19790324,5.0,7.0,158.0,15.3,5.0,-1.6,9.1,101330.0,0.0
19790325,7.0,0.7,70.0,8.0,10.2,5.0,0.2,99040.0,0.0
19790326,7.0,1.4,85.0,11.3,6.2,4.3,5.4,98870.0,0.0
19790327,6.0,5.8,148.0,8.1,7.2,3.0,4.2,98270.0,0.0
19790328,7.0,3.1,114.0,7.6,4.8,1.4,4.1,98400.0,0.0
19790329,8.0,0.7,74.0,7.6,4.8,1.9,3.3,99540.0,0.0
19790330,8.0,0.0,53.0,10.6,5.5,3.4,0.7,101330.0,0.0
19790331,7.0,0.2,62.0,11.6,5.4,0.3,0.1,101270.0,0.0
19790401,6.0,2.7,112.0,8.3,8.0,4.5,2.8,100890.0,0.0
19790402,5.0,3.4,124.0,8.6,4.4,0.5,3.0,100240.0,0.0
19790403,5.0,3.1,121.0,7.9,3.8,-1.1,0.0,99910.0,0.0
19790404,4.0,2.7,116.0,8.0,4.0,0.0,0.0,100270.0,0.0
19790405,6.0,2.1,107.0,7.9,4.0,0.0,0.1,100920.0,0.0
19790406,5.0,0.1,63.0,9.8,3.1,-1.7,0.0,101170.0,0.0
19790407,8.0,2.3,112.0,9.3,5.8,1.8,28.5,101230.0,0.0

